type,description,risk,recommendations
stress,I have good energy and no health issues,low,Maintain routine|Stay hydrated|Exercise daily
fever,Severe headache and extreme stress,high,Consult doctor|Immediate rest|Medical attention needed
anxiety,I have good energy and no health issues,low,Maintain routine|Stay hydrated|Exercise daily
stress,Stress is affecting my focus,medium,Reduce stress|Take proper sleep|Light exercise
fever,"No symptoms, feeling great today",low,Maintain routine|Stay hydrated|Exercise daily
sleep_issue,"I feel very weak, dizzy and unable to work",high,Consult doctor|Immediate rest|Medical attention needed
stress,I feel tired sometimes but manageable,medium,Reduce stress|Take proper sleep|Light exercise
fatigue,High fever with body pain and weakness,high,Consult doctor|Immediate rest|Medical attention needed
weakness,I am completely fine and healthy,low,Maintain routine|Stay hydrated|Exercise daily
anxiety,"No symptoms, feeling great today",low,Maintain routine|Stay hydrated|Exercise daily
fever,High fever with body pain and weakness,high,Consult doctor|Immediate rest|Medical attention needed
stress,Severe fatigue and constant tiredness,high,Consult doctor|Immediate rest|Medical attention needed
fever,Sleep is irregular and not very good,medium,Reduce stress|Take proper sleep|Light exercise
sleep_issue,I feel energetic and active throughout the day,low,Maintain routine|Stay hydrated|Exercise daily
sleep_issue,Feeling a bit weak but still working,medium,Reduce stress|Take proper sleep|Light exercise
weakness,I have mild headache and stress,medium,Reduce stress|Take proper sleep|Light exercise
weakness,Severe fatigue and constant tiredness,high,Consult doctor|Immediate rest|Medical attention needed
fever,Feeling a bit weak but still working,medium,Reduce stress|Take proper sleep|Light exercise
weakness,"I feel very weak, dizzy and unable to work",high,Consult doctor|Immediate rest|Medical attention needed
weakness,Everything feels normal and good,low,Maintain routine|Stay hydrated|Exercise daily
fever,I sleep well and wake up fresh,low,Maintain routine|Stay hydrated|Exercise daily
weakness,I sleep well and wake up fresh,low,Maintain routine|Stay hydrated|Exercise daily
weakness,I feel energetic and active throughout the day,low,Maintain routine|Stay hydrated|Exercise daily
fatigue,I am not able to sleep and feel exhausted,high,Consult doctor|Immediate rest|Medical attention needed
sleep_issue,"I feel very weak, dizzy and unable to work",high,Consult doctor|Immediate rest|Medical attention needed
weakness,Sleep is irregular and not very good,medium,Reduce stress|Take proper sleep|Light exercise
stress,Body feels slightly exhausted,medium,Reduce stress|Take proper sleep|Light exercise
fever,I have mild headache and stress,medium,Reduce stress|Take proper sleep|Light exercise
stress,I sleep well and wake up fresh,low,Maintain routine|Stay hydrated|Exercise daily
fever,Severe headache and extreme stress,high,Consult doctor|Immediate rest|Medical attention needed
sleep_issue,Severe headache and extreme stress,high,Consult doctor|Immediate rest|Medical attention needed
fatigue,I have good energy and no health issues,low,Maintain routine|Stay hydrated|Exercise daily
fatigue,I sleep well and wake up fresh,low,Maintain routine|Stay hydrated|Exercise daily
sleep_issue,Everything feels normal and good,low,Maintain routine|Stay hydrated|Exercise daily
fever,Severe headache and extreme stress,high,Consult doctor|Immediate rest|Medical attention needed
stress,I am not able to sleep and feel exhausted,high,Consult doctor|Immediate rest|Medical attention needed
fatigue,High fever with body pain and weakness,high,Consult doctor|Immediate rest|Medical attention needed
weakness,Sleep is irregular and not very good,medium,Reduce stress|Take proper sleep|Light exercise
fatigue,Feeling a bit weak but still working,medium,Reduce stress|Take proper sleep|Light exercise
fever,High fever with body pain and weakness,high,Consult doctor|Immediate rest|Medical attention needed
weakness,Stress is affecting my focus,medium,Reduce stress|Take proper sleep|Light exercise
fatigue,Body feels slightly exhausted,medium,Reduce stress|Take proper sleep|Light exercise
fatigue,I feel strong and productive,low,Maintain routine|Stay hydrated|Exercise daily
anxiety,"No symptoms, feeling great today",low,Maintain routine|Stay hydrated|Exercise daily
sleep_issue,Occasional dizziness and low energy,medium,Reduce stress|Take proper sleep|Light exercise
fatigue,Stress is affecting my focus,medium,Reduce stress|Take proper sleep|Light exercise
fatigue,I am not able to sleep and feel exhausted,high,Consult doctor|Immediate rest|Medical attention needed
fever,I am not able to sleep and feel exhausted,high,Consult doctor|Immediate rest|Medical attention needed
fever,"No symptoms, feeling great today",low,Maintain routine|Stay hydrated|Exercise daily
stress,I feel energetic and active throughout the day,low,Maintain routine|Stay hydrated|Exercise daily
sleep_issue,I have mild headache and stress,medium,Reduce stress|Take proper sleep|Light exercise
stress,"No symptoms, feeling great today",low,Maintain routine|Stay hydrated|Exercise daily
stress,Chest pain and breathing difficulty,high,Consult doctor|Immediate rest|Medical attention needed
anxiety,I am not able to sleep and feel exhausted,high,Consult doctor|Immediate rest|Medical attention needed
anxiety,Chest pain and breathing difficulty,high,Consult doctor|Immediate rest|Medical attention needed
weakness,Chest pain and breathing difficulty,high,Consult doctor|Immediate rest|Medical attention needed
anxiety,I have mild headache and stress,medium,Reduce stress|Take proper sleep|Light exercise
fatigue,I feel strong and productive,low,Maintain routine|Stay hydrated|Exercise daily
anxiety,I feel tired sometimes but manageable,medium,Reduce stress|Take proper sleep|Light exercise
anxiety,I am completely fine and healthy,low,Maintain routine|Stay hydrated|Exercise daily
stress,"I feel very weak, dizzy and unable to work",high,Consult doctor|Immediate rest|Medical attention needed
anxiety,"I feel very weak, dizzy and unable to work",high,Consult doctor|Immediate rest|Medical attention needed
fever,Everything feels normal and good,low,Maintain routine|Stay hydrated|Exercise daily
sleep_issue,Chest pain and breathing difficulty,high,Consult doctor|Immediate rest|Medical attention needed
stress,"No symptoms, feeling great today",low,Maintain routine|Stay hydrated|Exercise daily
stress,Chest pain and breathing difficulty,high,Consult doctor|Immediate rest|Medical attention needed
weakness,Severe fatigue and constant tiredness,high,Consult doctor|Immediate rest|Medical attention needed
anxiety,"I feel very weak, dizzy and unable to work",high,Consult doctor|Immediate rest|Medical attention needed
anxiety,High fever with body pain and weakness,high,Consult doctor|Immediate rest|Medical attention needed
fever,Feeling a bit weak but still working,medium,Reduce stress|Take proper sleep|Light exercise
anxiety,Everything feels normal and good,low,Maintain routine|Stay hydrated|Exercise daily
stress,"I feel very weak, dizzy and unable to work",high,Consult doctor|Immediate rest|Medical attention needed
stress,Severe headache and extreme stress,high,Consult doctor|Immediate rest|Medical attention needed
fever,I am not able to sleep and feel exhausted,high,Consult doctor|Immediate rest|Medical attention needed
anxiety,Body feels slightly exhausted,medium,Reduce stress|Take proper sleep|Light exercise
fever,Severe fatigue and constant tiredness,high,Consult doctor|Immediate rest|Medical attention needed
fever,High fever with body pain and weakness,high,Consult doctor|Immediate rest|Medical attention needed
weakness,Body feels slightly exhausted,medium,Reduce stress|Take proper sleep|Light exercise
weakness,Feeling a bit weak but still working,medium,Reduce stress|Take proper sleep|Light exercise
fatigue,Feeling a bit weak but still working,medium,Reduce stress|Take proper sleep|Light exercise
weakness,I sleep well and wake up fresh,low,Maintain routine|Stay hydrated|Exercise daily
stress,I have good energy and no health issues,low,Maintain routine|Stay hydrated|Exercise daily
anxiety,I am completely fine and healthy,low,Maintain routine|Stay hydrated|Exercise daily
weakness,Severe headache and extreme stress,high,Consult doctor|Immediate rest|Medical attention needed
sleep_issue,Everything feels normal and good,low,Maintain routine|Stay hydrated|Exercise daily
sleep_issue,I feel strong and productive,low,Maintain routine|Stay hydrated|Exercise daily
stress,Severe headache and extreme stress,high,Consult doctor|Immediate rest|Medical attention needed
weakness,Severe fatigue and constant tiredness,high,Consult doctor|Immediate rest|Medical attention needed
sleep_issue,Feeling a bit weak but still working,medium,Reduce stress|Take proper sleep|Light exercise
weakness,Everything feels normal and good,low,Maintain routine|Stay hydrated|Exercise daily
anxiety,Severe headache and extreme stress,high,Consult doctor|Immediate rest|Medical attention needed
stress,I have good energy and no health issues,low,Maintain routine|Stay hydrated|Exercise daily
fever,Chest pain and breathing difficulty,high,Consult doctor|Immediate rest|Medical attention needed
fatigue,I sleep well and wake up fresh,low,Maintain routine|Stay hydrated|Exercise daily
sleep_issue,I am not able to sleep and feel exhausted,high,Consult doctor|Immediate rest|Medical attention needed
fatigue,I have good energy and no health issues,low,Maintain routine|Stay hydrated|Exercise daily
fatigue,"No symptoms, feeling great today",low,Maintain routine|Stay hydrated|Exercise daily
fever,Chest pain and breathing difficulty,high,Consult doctor|Immediate rest|Medical attention needed
fever,I feel energetic and active throughout the day,low,Maintain routine|Stay hydrated|Exercise daily
stress,Stress is affecting my focus,medium,Reduce stress|Take proper sleep|Light exercise
anxiety,"I feel very weak, dizzy and unable to work",high,Consult doctor|Immediate rest|Medical attention needed
sleep_issue,I feel strong and productive,low,Maintain routine|Stay hydrated|Exercise daily
sleep_issue,"I feel very weak, dizzy and unable to work",high,Consult doctor|Immediate rest|Medical attention needed
fatigue,Body feels slightly exhausted,medium,Reduce stress|Take proper sleep|Light exercise
anxiety,Body feels slightly exhausted,medium,Reduce stress|Take proper sleep|Light exercise
fever,I am completely fine and healthy,low,Maintain routine|Stay hydrated|Exercise daily
weakness,Chest pain and breathing difficulty,high,Consult doctor|Immediate rest|Medical attention needed
anxiety,Severe fatigue and constant tiredness,high,Consult doctor|Immediate rest|Medical attention needed
anxiety,Stress is affecting my focus,medium,Reduce stress|Take proper sleep|Light exercise
weakness,"No symptoms, feeling great today",low,Maintain routine|Stay hydrated|Exercise daily
fever,Occasional dizziness and low energy,medium,Reduce stress|Take proper sleep|Light exercise
stress,I am completely fine and healthy,low,Maintain routine|Stay hydrated|Exercise daily
fatigue,Very low energy and feeling sick all day,high,Consult doctor|Immediate rest|Medical attention needed
fever,Stress is affecting my focus,medium,Reduce stress|Take proper sleep|Light exercise
stress,Very low energy and feeling sick all day,high,Consult doctor|Immediate rest|Medical attention needed
fever,"I feel very weak, dizzy and unable to work",high,Consult doctor|Immediate rest|Medical attention needed
fever,I feel energetic and active throughout the day,low,Maintain routine|Stay hydrated|Exercise daily
stress,I sleep well and wake up fresh,low,Maintain routine|Stay hydrated|Exercise daily
weakness,I feel energetic and active throughout the day,low,Maintain routine|Stay hydrated|Exercise daily
sleep_issue,Feeling a bit weak but still working,medium,Reduce stress|Take proper sleep|Light exercise
weakness,Very low energy and feeling sick all day,high,Consult doctor|Immediate rest|Medical attention needed
fatigue,I am not able to sleep and feel exhausted,high,Consult doctor|Immediate rest|Medical attention needed
fever,Body feels slightly exhausted,medium,Reduce stress|Take proper sleep|Light exercise
sleep_issue,I feel tired sometimes but manageable,medium,Reduce stress|Take proper sleep|Light exercise
sleep_issue,I feel strong and productive,low,Maintain routine|Stay hydrated|Exercise daily
weakness,I feel strong and productive,low,Maintain routine|Stay hydrated|Exercise daily
sleep_issue,I feel strong and productive,low,Maintain routine|Stay hydrated|Exercise daily
fatigue,I have mild headache and stress,medium,Reduce stress|Take proper sleep|Light exercise
sleep_issue,I feel tired sometimes but manageable,medium,Reduce stress|Take proper sleep|Light exercise
weakness,I am not able to sleep and feel exhausted,high,Consult doctor|Immediate rest|Medical attention needed
fatigue,I feel strong and productive,low,Maintain routine|Stay hydrated|Exercise daily
anxiety,Very low energy and feeling sick all day,high,Consult doctor|Immediate rest|Medical attention needed
fever,Chest pain and breathing difficulty,high,Consult doctor|Immediate rest|Medical attention needed
fever,I have mild headache and stress,medium,Reduce stress|Take proper sleep|Light exercise
stress,I feel tired sometimes but manageable,medium,Reduce stress|Take proper sleep|Light exercise
stress,"I feel very weak, dizzy and unable to work",high,Consult doctor|Immediate rest|Medical attention needed
stress,I am completely fine and healthy,low,Maintain routine|Stay hydrated|Exercise daily
sleep_issue,Very low energy and feeling sick all day,high,Consult doctor|Immediate rest|Medical attention needed
fatigue,I have mild headache and stress,medium,Reduce stress|Take proper sleep|Light exercise
fever,I feel strong and productive,low,Maintain routine|Stay hydrated|Exercise daily
weakness,"I feel very weak, dizzy and unable to work",high,Consult doctor|Immediate rest|Medical attention needed
weakness,"No symptoms, feeling great today",low,Maintain routine|Stay hydrated|Exercise daily
fever,Severe headache and extreme stress,high,Consult doctor|Immediate rest|Medical attention needed
fatigue,"No symptoms, feeling great today",low,Maintain routine|Stay hydrated|Exercise daily
stress,Very low energy and feeling sick all day,high,Consult doctor|Immediate rest|Medical attention needed
sleep_issue,I feel tired sometimes but manageable,medium,Reduce stress|Take proper sleep|Light exercise
weakness,Very low energy and feeling sick all day,high,Consult doctor|Immediate rest|Medical attention needed
weakness,Chest pain and breathing difficulty,high,Consult doctor|Immediate rest|Medical attention needed
stress,Feeling a bit weak but still working,medium,Reduce stress|Take proper sleep|Light exercise
fever,Everything feels normal and good,low,Maintain routine|Stay hydrated|Exercise daily
stress,Feeling a bit weak but still working,medium,Reduce stress|Take proper sleep|Light exercise
stress,"I feel very weak, dizzy and unable to work",high,Consult doctor|Immediate rest|Medical attention needed
stress,Very low energy and feeling sick all day,high,Consult doctor|Immediate rest|Medical attention needed
sleep_issue,Very low energy and feeling sick all day,high,Consult doctor|Immediate rest|Medical attention needed
stress,Feeling a bit weak but still working,medium,Reduce stress|Take proper sleep|Light exercise
sleep_issue,I have good energy and no health issues,low,Maintain routine|Stay hydrated|Exercise daily
fatigue,Everything feels normal and good,low,Maintain routine|Stay hydrated|Exercise daily
weakness,Sleep is irregular and not very good,medium,Reduce stress|Take proper sleep|Light exercise
anxiety,Everything feels normal and good,low,Maintain routine|Stay hydrated|Exercise daily
sleep_issue,I feel tired sometimes but manageable,medium,Reduce stress|Take proper sleep|Light exercise
stress,I am not able to sleep and feel exhausted,high,Consult doctor|Immediate rest|Medical attention needed
fatigue,I feel energetic and active throughout the day,low,Maintain routine|Stay hydrated|Exercise daily
weakness,I sleep well and wake up fresh,low,Maintain routine|Stay hydrated|Exercise daily
anxiety,I have mild headache and stress,medium,Reduce stress|Take proper sleep|Light exercise
fatigue,I have mild headache and stress,medium,Reduce stress|Take proper sleep|Light exercise
stress,I sleep well and wake up fresh,low,Maintain routine|Stay hydrated|Exercise daily
fatigue,Chest pain and breathing difficulty,high,Consult doctor|Immediate rest|Medical attention needed
fever,I feel energetic and active throughout the day,low,Maintain routine|Stay hydrated|Exercise daily
stress,I feel tired sometimes but manageable,medium,Reduce stress|Take proper sleep|Light exercise
stress,I feel strong and productive,low,Maintain routine|Stay hydrated|Exercise daily
fever,Sleep is irregular and not very good,medium,Reduce stress|Take proper sleep|Light exercise
fatigue,Stress is affecting my focus,medium,Reduce stress|Take proper sleep|Light exercise
weakness,I feel tired sometimes but manageable,medium,Reduce stress|Take proper sleep|Light exercise
stress,Feeling a bit weak but still working,medium,Reduce stress|Take proper sleep|Light exercise
fatigue,I am not able to sleep and feel exhausted,high,Consult doctor|Immediate rest|Medical attention needed
sleep_issue,I have mild headache and stress,medium,Reduce stress|Take proper sleep|Light exercise
fever,"No symptoms, feeling great today",low,Maintain routine|Stay hydrated|Exercise daily
weakness,"I feel very weak, dizzy and unable to work",high,Consult doctor|Immediate rest|Medical attention needed
anxiety,Feeling a bit weak but still working,medium,Reduce stress|Take proper sleep|Light exercise
weakness,Severe fatigue and constant tiredness,high,Consult doctor|Immediate rest|Medical attention needed
weakness,I have mild headache and stress,medium,Reduce stress|Take proper sleep|Light exercise
fatigue,"I feel very weak, dizzy and unable to work",high,Consult doctor|Immediate rest|Medical attention needed
fatigue,I sleep well and wake up fresh,low,Maintain routine|Stay hydrated|Exercise daily
weakness,I feel energetic and active throughout the day,low,Maintain routine|Stay hydrated|Exercise daily
fatigue,I feel strong and productive,low,Maintain routine|Stay hydrated|Exercise daily
fatigue,Occasional dizziness and low energy,medium,Reduce stress|Take proper sleep|Light exercise
fever,Severe fatigue and constant tiredness,high,Consult doctor|Immediate rest|Medical attention needed
fever,I am not able to sleep and feel exhausted,high,Consult doctor|Immediate rest|Medical attention needed
fatigue,Everything feels normal and good,low,Maintain routine|Stay hydrated|Exercise daily
sleep_issue,I feel strong and productive,low,Maintain routine|Stay hydrated|Exercise daily
sleep_issue,Everything feels normal and good,low,Maintain routine|Stay hydrated|Exercise daily
anxiety,I feel strong and productive,low,Maintain routine|Stay hydrated|Exercise daily
anxiety,I am not able to sleep and feel exhausted,high,Consult doctor|Immediate rest|Medical attention needed
stress,Very low energy and feeling sick all day,high,Consult doctor|Immediate rest|Medical attention needed
fatigue,Stress is affecting my focus,medium,Reduce stress|Take proper sleep|Light exercise
fatigue,Stress is affecting my focus,medium,Reduce stress|Take proper sleep|Light exercise
weakness,Feeling a bit weak but still working,medium,Reduce stress|Take proper sleep|Light exercise
sleep_issue,Severe fatigue and constant tiredness,high,Consult doctor|Immediate rest|Medical attention needed
weakness,Sleep is irregular and not very good,medium,Reduce stress|Take proper sleep|Light exercise
weakness,Very low energy and feeling sick all day,high,Consult doctor|Immediate rest|Medical attention needed
fever,Everything feels normal and good,low,Maintain routine|Stay hydrated|Exercise daily
anxiety,I feel strong and productive,low,Maintain routine|Stay hydrated|Exercise daily
sleep_issue,Body feels slightly exhausted,medium,Reduce stress|Take proper sleep|Light exercise
sleep_issue,I have good energy and no health issues,low,Maintain routine|Stay hydrated|Exercise daily
fever,I have good energy and no health issues,low,Maintain routine|Stay hydrated|Exercise daily
weakness,I am completely fine and healthy,low,Maintain routine|Stay hydrated|Exercise daily
weakness,I feel energetic and active throughout the day,low,Maintain routine|Stay hydrated|Exercise daily
fever,Chest pain and breathing difficulty,high,Consult doctor|Immediate rest|Medical attention needed
fever,Sleep is irregular and not very good,medium,Reduce stress|Take proper sleep|Light exercise
anxiety,I sleep well and wake up fresh,low,Maintain routine|Stay hydrated|Exercise daily
sleep_issue,Body feels slightly exhausted,medium,Reduce stress|Take proper sleep|Light exercise
fatigue,"No symptoms, feeling great today",low,Maintain routine|Stay hydrated|Exercise daily
fever,Stress is affecting my focus,medium,Reduce stress|Take proper sleep|Light exercise
stress,I feel strong and productive,low,Maintain routine|Stay hydrated|Exercise daily
sleep_issue,I feel tired sometimes but manageable,medium,Reduce stress|Take proper sleep|Light exercise
stress,Very low energy and feeling sick all day,high,Consult doctor|Immediate rest|Medical attention needed
weakness,I have mild headache and stress,medium,Reduce stress|Take proper sleep|Light exercise
weakness,Occasional dizziness and low energy,medium,Reduce stress|Take proper sleep|Light exercise
anxiety,I feel strong and productive,low,Maintain routine|Stay hydrated|Exercise daily
fatigue,I have mild headache and stress,medium,Reduce stress|Take proper sleep|Light exercise
anxiety,Stress is affecting my focus,medium,Reduce stress|Take proper sleep|Light exercise
sleep_issue,I am not able to sleep and feel exhausted,high,Consult doctor|Immediate rest|Medical attention needed
fatigue,I feel tired sometimes but manageable,medium,Reduce stress|Take proper sleep|Light exercise
fatigue,High fever with body pain and weakness,high,Consult doctor|Immediate rest|Medical attention needed
fatigue,I feel tired sometimes but manageable,medium,Reduce stress|Take proper sleep|Light exercise
sleep_issue,"I feel very weak, dizzy and unable to work",high,Consult doctor|Immediate rest|Medical attention needed
fever,I feel strong and productive,low,Maintain routine|Stay hydrated|Exercise daily
weakness,Stress is affecting my focus,medium,Reduce stress|Take proper sleep|Light exercise
fatigue,Severe fatigue and constant tiredness,high,Consult doctor|Immediate rest|Medical attention needed
anxiety,Body feels slightly exhausted,medium,Reduce stress|Take proper sleep|Light exercise
stress,I feel strong and productive,low,Maintain routine|Stay hydrated|Exercise daily
weakness,High fever with body pain and weakness,high,Consult doctor|Immediate rest|Medical attention needed
fatigue,I feel tired sometimes but manageable,medium,Reduce stress|Take proper sleep|Light exercise
stress,"No symptoms, feeling great today",low,Maintain routine|Stay hydrated|Exercise daily
stress,Severe fatigue and constant tiredness,high,Consult doctor|Immediate rest|Medical attention needed
sleep_issue,Severe headache and extreme stress,high,Consult doctor|Immediate rest|Medical attention needed
sleep_issue,Occasional dizziness and low energy,medium,Reduce stress|Take proper sleep|Light exercise
fatigue,I feel strong and productive,low,Maintain routine|Stay hydrated|Exercise daily
anxiety,"I feel very weak, dizzy and unable to work",high,Consult doctor|Immediate rest|Medical attention needed
anxiety,I feel strong and productive,low,Maintain routine|Stay hydrated|Exercise daily
weakness,I feel tired sometimes but manageable,medium,Reduce stress|Take proper sleep|Light exercise
stress,"No symptoms, feeling great today",low,Maintain routine|Stay hydrated|Exercise daily
weakness,"No symptoms, feeling great today",low,Maintain routine|Stay hydrated|Exercise daily
weakness,High fever with body pain and weakness,high,Consult doctor|Immediate rest|Medical attention needed
anxiety,I have good energy and no health issues,low,Maintain routine|Stay hydrated|Exercise daily
stress,I have good energy and no health issues,low,Maintain routine|Stay hydrated|Exercise daily
stress,Severe headache and extreme stress,high,Consult doctor|Immediate rest|Medical attention needed
stress,I have mild headache and stress,medium,Reduce stress|Take proper sleep|Light exercise
fever,I sleep well and wake up fresh,low,Maintain routine|Stay hydrated|Exercise daily
stress,Severe fatigue and constant tiredness,high,Consult doctor|Immediate rest|Medical attention needed
weakness,"No symptoms, feeling great today",low,Maintain routine|Stay hydrated|Exercise daily
sleep_issue,"No symptoms, feeling great today",low,Maintain routine|Stay hydrated|Exercise daily
stress,"No symptoms, feeling great today",low,Maintain routine|Stay hydrated|Exercise daily
fever,Body feels slightly exhausted,medium,Reduce stress|Take proper sleep|Light exercise
sleep_issue,Chest pain and breathing difficulty,high,Consult doctor|Immediate rest|Medical attention needed
fatigue,I have good energy and no health issues,low,Maintain routine|Stay hydrated|Exercise daily
anxiety,Stress is affecting my focus,medium,Reduce stress|Take proper sleep|Light exercise
fever,Very low energy and feeling sick all day,high,Consult doctor|Immediate rest|Medical attention needed
fatigue,"I feel very weak, dizzy and unable to work",high,Consult doctor|Immediate rest|Medical attention needed
weakness,I have mild headache and stress,medium,Reduce stress|Take proper sleep|Light exercise
sleep_issue,Occasional dizziness and low energy,medium,Reduce stress|Take proper sleep|Light exercise
sleep_issue,Occasional dizziness and low energy,medium,Reduce stress|Take proper sleep|Light exercise
fever,"No symptoms, feeling great today",low,Maintain routine|Stay hydrated|Exercise daily
anxiety,I am not able to sleep and feel exhausted,high,Consult doctor|Immediate rest|Medical attention needed
anxiety,I am not able to sleep and feel exhausted,high,Consult doctor|Immediate rest|Medical attention needed
sleep_issue,I feel tired sometimes but manageable,medium,Reduce stress|Take proper sleep|Light exercise
weakness,Chest pain and breathing difficulty,high,Consult doctor|Immediate rest|Medical attention needed
anxiety,Everything feels normal and good,low,Maintain routine|Stay hydrated|Exercise daily
stress,I am not able to sleep and feel exhausted,high,Consult doctor|Immediate rest|Medical attention needed
anxiety,I have mild headache and stress,medium,Reduce stress|Take proper sleep|Light exercise
fatigue,Feeling a bit weak but still working,medium,Reduce stress|Take proper sleep|Light exercise
sleep_issue,I am not able to sleep and feel exhausted,high,Consult doctor|Immediate rest|Medical attention needed
weakness,Sleep is irregular and not very good,medium,Reduce stress|Take proper sleep|Light exercise
anxiety,Severe fatigue and constant tiredness,high,Consult doctor|Immediate rest|Medical attention needed
fatigue,Sleep is irregular and not very good,medium,Reduce stress|Take proper sleep|Light exercise
weakness,Chest pain and breathing difficulty,high,Consult doctor|Immediate rest|Medical attention needed
sleep_issue,I feel tired sometimes but manageable,medium,Reduce stress|Take proper sleep|Light exercise
stress,I am not able to sleep and feel exhausted,high,Consult doctor|Immediate rest|Medical attention needed
stress,"No symptoms, feeling great today",low,Maintain routine|Stay hydrated|Exercise daily
fatigue,Occasional dizziness and low energy,medium,Reduce stress|Take proper sleep|Light exercise
stress,Occasional dizziness and low energy,medium,Reduce stress|Take proper sleep|Light exercise
stress,Occasional dizziness and low energy,medium,Reduce stress|Take proper sleep|Light exercise
weakness,I am completely fine and healthy,low,Maintain routine|Stay hydrated|Exercise daily
anxiety,Sleep is irregular and not very good,medium,Reduce stress|Take proper sleep|Light exercise
sleep_issue,Severe fatigue and constant tiredness,high,Consult doctor|Immediate rest|Medical attention needed
sleep_issue,Very low energy and feeling sick all day,high,Consult doctor|Immediate rest|Medical attention needed
fatigue,"I feel very weak, dizzy and unable to work",high,Consult doctor|Immediate rest|Medical attention needed
anxiety,I have good energy and no health issues,low,Maintain routine|Stay hydrated|Exercise daily
stress,I feel tired sometimes but manageable,medium,Reduce stress|Take proper sleep|Light exercise
sleep_issue,"No symptoms, feeling great today",low,Maintain routine|Stay hydrated|Exercise daily
stress,I sleep well and wake up fresh,low,Maintain routine|Stay hydrated|Exercise daily
anxiety,Severe fatigue and constant tiredness,high,Consult doctor|Immediate rest|Medical attention needed
fever,"No symptoms, feeling great today",low,Maintain routine|Stay hydrated|Exercise daily
fever,"No symptoms, feeling great today",low,Maintain routine|Stay hydrated|Exercise daily
weakness,I am not able to sleep and feel exhausted,high,Consult doctor|Immediate rest|Medical attention needed
sleep_issue,Severe headache and extreme stress,high,Consult doctor|Immediate rest|Medical attention needed
sleep_issue,Feeling a bit weak but still working,medium,Reduce stress|Take proper sleep|Light exercise
anxiety,I feel strong and productive,low,Maintain routine|Stay hydrated|Exercise daily
sleep_issue,I am not able to sleep and feel exhausted,high,Consult doctor|Immediate rest|Medical attention needed
fatigue,I have good energy and no health issues,low,Maintain routine|Stay hydrated|Exercise daily
weakness,Body feels slightly exhausted,medium,Reduce stress|Take proper sleep|Light exercise
fever,Occasional dizziness and low energy,medium,Reduce stress|Take proper sleep|Light exercise
stress,I feel strong and productive,low,Maintain routine|Stay hydrated|Exercise daily
weakness,Occasional dizziness and low energy,medium,Reduce stress|Take proper sleep|Light exercise
weakness,Stress is affecting my focus,medium,Reduce stress|Take proper sleep|Light exercise
weakness,"No symptoms, feeling great today",low,Maintain routine|Stay hydrated|Exercise daily
fatigue,Feeling a bit weak but still working,medium,Reduce stress|Take proper sleep|Light exercise
stress,I sleep well and wake up fresh,low,Maintain routine|Stay hydrated|Exercise daily
fatigue,Body feels slightly exhausted,medium,Reduce stress|Take proper sleep|Light exercise
fever,I am not able to sleep and feel exhausted,high,Consult doctor|Immediate rest|Medical attention needed
anxiety,I am completely fine and healthy,low,Maintain routine|Stay hydrated|Exercise daily
